worker_id,zone,rainfall_mm_hr,temperature_c,aqi,humidity_pct,gps_lat,gps_lon,daily_earnings_inr,weekly_earnings_inr,num_deliveries,active_hours,gps_speed_variance,location_jump_km
W0000,Zone_D_Hyderabad,7.0370748975675435,32.60906417793694,85,40.71296302241341,21.72654986391672,85.69478354057911,727.3898654638975,5701.7338803804605,30,6.753858553554824,6.967492994520552,0.17113917818522728
W0001,Zone_E_Chennai,17.5133255752333,19.991091388917575,133,38.562370274546524,18.322044180128,80.5509575125068,758.5648256746026,4551.14461488047,38,9.83000231347202,4.438099594834761,0.7090490813565526
W0002,Zone_C_Delhi,3.857354261645083,37.392216153655205,423,77.18869414904421,24.42094110328128,81.31294422928326,698.0026246603411,5986.753655579354,32,9.501532294315126,1.195502739191244,2.231691010004243
W0003,Zone_E_Chennai,22.58790514545926,28.520782908456088,312,83.15604644070143,23.206208047752646,87.15621846735911,955.177948910556,6071.455148698922,7,6.568178045561352,0.5102645050177322,0.7972574417545527
W0004,Zone_E_Chennai,4.929884540601712,25.818215835847685,359,43.87823881019367,26.26054893524053,87.72173034202437,621.1105421841106,5362.441652070979,15,10.456673490987715,0.3319736186522275,0.6517710177622719
W0005,Zone_B_Mumbai,0.10896806615175478,38.392073806695116,434,62.88042504186888,23.84138666137376,87.13962885685392,942.6812200696852,5364.265472975022,18,3.1423713859139584,4.490978036122894,0.4077487761582509
W0006,Zone_C_Delhi,23.579072969624537,24.365250475657927,221,84.645696820728,19.692911022764342,82.03003833473899,1006.6770979365191,4854.909842290959,30,4.553533502289015,8.715855745504522,1.3763846597612517
W0007,Zone_C_Delhi,0.9572561054847526,18.732309629091525,425,77.6321004098063,23.53287263383203,85.92794743247433,930.5767641438641,4423.533279916027,25,10.279764635022515,9.771289586945805,0.6457864195063729
W0008,Zone_C_Delhi,3.8465363338503886,17.54696661180877,222,65.24541835697013,17.251022553235615,82.64442591965187,956.8942725769643,6858.474325066986,34,5.779940386261531,3.1145814059348913,2.6261647455157453
W0009,Zone_E_Chennai,29.969723831882856,34.84807961076512,411,68.37259987982023,17.73975328069576,82.8734304031779,963.9319704367064,4807.942858263098,12,11.811815587938423,7.668668380275917,0.15943405907460925
W0010,Zone_D_Hyderabad,30.079495401039896,19.756565180029735,96,63.0434355495582,25.365965526748532,79.71054517781866,707.5863509911354,6754.236904957178,24,6.662532815278354,14.676027349998488,2.1814848733665166
